"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Belgium","BEL","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","500","500","500","500","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","500","500","500","500","500","500","500","","",
"Benin","BEN","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3700","4400","4900","5600","5800","6200","6000","5600","5300","5000","4600","4400","4300","4100","3900","3900","3700","3700","3500","3000","2700","2500","2300","2200","2200","1900","1700","1500","1300","1100","1000","1000","1000","","",
"Burkina Faso","BFA","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15000","14000","13000","12000","11000","9000","8400","7500","7300","6700","6200","5800","5600","5200","5000","4900","4500","4100","3800","3600","3200","3000","2700","2500","2300","1900","1800","1400","1300","1200","1100","1100","1000","","",
"Bangladesh","BGD","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","200","200","500","500","500","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1100","1100","1200","1200","1100","1000","1000","1000","1000","1000","","",
"Bulgaria","BGR","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","500","500","500","500","500","500","500","500","500","500","","",
"Bahrain","BHR","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","200","200","200","200","200","200","200","200","200","100","100","100","100","100","100","100","100","","",
"Bosnia and Herzegovina","BIH","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","200","200","200","500","500","500","1000","1000","1000","1000","1200","1300","1500","1600","1700","1800","1800","1800","1800","1800","1800","1700","1600","1500","1300","1100","1000","1000","1000","","",
"Belize","BLZ","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","200","200","200","200","500","500","500","500","500","500","500","500","500","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","","",
"Bermuda","BMU","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","1500","2100","1800","1500","1200","1300","1300","1400","1500","1500","1500","1500","1600","1700","1600","1700","1700","1700","1700","1800","1800","1700","1800","1800","1800","1800","1800","1700","1700","1800","1800","","",
"Brazil","BRA","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","200","200","200","500","500","200","200","200","200","200","200","200","200","200","200","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Brunei Darussalam","BRN","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","200","200","200","200","200","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Botswana","BWA","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15000","21000","26000","29000","30000","29000","27000","25000","23000","21000","19000","18000","17000","16000","14000","13000","12000","12000","11000","11000","11000","11000","10000","9500","9300","8900","8100","7400","6400","5400","4900","4400","3900","","",
"Central African Republic","CAF","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13000","15000","16000","16000","16000","15000","15000","14000","12000","12000","11000","10000","9600","9100","9100","8500","8400","8400","7900","7500","7800","7700","7700","7800","7300","7400","6900","6700","7100","7000","7000","7600","7100","","",
"Canada","CAN","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2400","2300","2300","2300","2300","2300","2300","2300","2300","2300","2300","2200","2200","2200","2200","2200","2200","2100","2100","2000","1900","1700","1600","1600","1600","1600","1700","1700","1700","1600","1400","","","","",
"Central Europe and the Baltics","CEB","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","1000","1000","1000","1000","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","","","",
"Channel Islands","CHI","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","1000","1300","1600","1900","2100","2300","2400","2400","2200","2000","1800","1500","1400","1400","1600","1800","2100","2500","2800","3100","3400","3600","3800","3900","4000","4100","4200","4300","4400","4400","4500","","",
"China","CHN","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70000","71000","76000","74000","68000","63000","58000","51000","48000","45000","39000","34000","32000","29000","28000","24000","23000","22000","20000","19000","18000","18000","16000","15000","14000","13000","12000","10000","9000","8100","7400","7400","6500","","",
"Cameroon","CMR","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13000","17000","23000","29000","35000","41000","46000","48000","48000","47000","45000","41000","38000","34000","31000","29000","28000","27000","25000","24000","23000","22000","20000","20000","19000","18000","16000","14000","13000","11000","9000","7900","6000","","",
"Congo, Dem. Rep.","COD","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56000","56000","56000","55000","55000","50000","47000","46000","42000","39000","38000","35000","33000","32000","31000","29000","28000","27000","26000","25000","24000","23000","21000","20000","20000","18000","18000","16000","15000","15000","13000","10000","8000","","",
"Congo, Rep.","COG","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6600","6000","5900","5400","5100","5000","5000","4800","5300","5100","4700","4400","4900","5300","5100","5600","5000","5200","5300","5600","5800","6300","6700","7400","7500","8100","8700","9000","9600","11000","10000","11000","12000","","",
"Colombia","COL","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4100","5100","6200","7000","7900","8400","9000","9300","9300","9700","9500","8700","8600","8400","8200","8300","8200","8300","8800","9000","8700","8100","8000","7800","7700","7800","7800","8400","8700","8700","8400","8600","7600","","",
"Comoros","COM","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Cabo Verde","CPV","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","500","500","200","200","200","200","200","","",
"Costa Rica","CRI","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","500","500","500","500","500","500","500","500","500","500","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","","",
"Caribbean small states","CSS","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","200","200","200","200","500","500","500","1000","1000","1100","1400","1600","1800","1900","2000","2100","2100","2200","2200","2200","2200","2200","2100","2100","2100","2000","2000","2000","2000","1900","1900","1900","","",
"Curacao","CUW","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","",
"Czechia","CZE","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","","",
"Germany","DEU","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2500","2300","2400","2400","2400","2300","2300","2100","2000","2100","1800","1700","","","",
"Djibouti","DJI","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","500","500","500","500","500","500","500","500","500","500","500","500","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","100","100","","",
"Dominican Republic","DOM","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5500","6500","7300","7900","8200","8400","8300","8200","7800","7200","6600","6000","5500","5100","4800","4500","4200","4000","3700","3500","3600","3600","3300","3100","2900","2800","3000","3100","3300","3600","3700","3800","3400","","",
"Algeria","DZA","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","200","200","200","500","500","500","500","500","500","500","500","1000","1000","1000","1000","1000","1000","1000","1100","1200","1300","1400","1500","1600","1700","1700","1700","1700","1700","1700","1800","1900","","",
"East Asia & Pacific (excluding high income)","EAP","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","1100","1400","1800","2100","2400","2600","2800","2900","2800","2600","2400","2300","2200","2000","2000","2000","1900","1900","2000","2000","2000","2100","2100","2100","2100","2000","1900","1900","1800","1800","1800","","",
"Egypt, Arab Rep.","EGY","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","200","200","200","200","500","500","500","500","500","1000","1000","1000","1000","1100","1300","1600","1800","2100","2400","2800","3100","3400","3800","4300","4800","","",
"Euro area","EMU","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2300","2300","2200","2200","2100","2000","1900","1600","1400","1300","1100","1100","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","500","500","500","500","500","500","500","500","200","200","200","","",
"Spain","ESP","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Estonia","EST","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","500","1000","1000","1000","1000","1000","1000","500","500","500","500","500","500","500","500","200","200","200","200","200","200","200","200","","",
"Ethiopia","ETH","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91000","100000","100000","98000","86000","72000","62000","53000","47000","42000","38000","34000","30000","29000","26000","24000","22000","21000","20000","18000","17000","15000","14000","13000","12000","11000","10000","8700","8100","7600","6800","6500","5900","","",
"European Union","EUU","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","200","200","200","200","200","200","500","500","500","","",
"France","FRA","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5500","5800","6200","6300","6300","6400","6500","6100","5800","5700","6000","6300","6500","6600","6600","6500","6400","6300","6300","6200","6300","6300","6300","6100","5900","5700","5600","5500","5500","5400","5400","5400","5400","","",
"Faroe Islands","FRO","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1700","2000","2600","3100","3500","3700","4000","3900","3600","3500","3300","3000","2900","2700","2400","2300","2200","2200","2200","2100","1900","1800","1700","1600","1500","1400","1400","1300","1300","1200","1700","1700","1600","","",
"United Kingdom","GBR","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","200","200","500","500","500","500","500","500","500","500","500","1000","500","500","500","500","500","500","500","500","500","500","","",
"Ghana","GHA","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23000","25000","27000","27000","28000","26000","25000","24000","23000","21000","20000","20000","19000","18000","18000","17000","17000","17000","16000","16000","16000","16000","16000","16000","17000","17000","17000","17000","18000","18000","17000","14000","13000","","",
"Gibraltar","GIB","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4300","5100","5800","6600","7100","7400","7500","7500","7600","7600","7500","7500","7100","6900","6900","6900","6700","6700","6700","6300","6100","6100","5900","5800","6000","5800","5800","5600","5700","5400","4900","4600","4100","","",
"Gambia, The","GMB","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","500","1000","1000","1000","1200","1400","1600","1700","1900","1900","1900","1800","1900","1700","1700","1700","1700","1700","1700","1700","1600","1600","1600","1600","1500","1500","1400","1300","1200","1200","1200","1200","","",
"Guinea-Bissau","GNB","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","500","1000","1000","1400","2100","2800","3600","4200","4500","4300","3900","3300","2900","2600","2400","2300","2300","2200","2000","1900","1900","1700","1600","1500","1500","1300","1300","1200","1100","1000","1000","1000","","",
"Equatorial Guinea","GNQ","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1000","1000","1000","1100","1200","1400","1500","1700","1900","1900","2000","2200","2300","2500","2600","2900","3000","3200","3400","3500","3600","3600","3700","3600","3700","3700","3600","3800","3700","4100","3600","3700","","",
"Greece","GRC","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","500","500","500","500","500","200","200","500","500","500","500","500","500","500","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","500","500","500","500","1000","1000","","",
"Grenada","GRD","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Greenland","GRL","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2200","2800","3300","3300","3300","3300","3200","3000","2600","2500","2300","2000","1900","1600","1300","1300","1100","1000","1000","1000","1000","1000","1000","500","1000","1000","1000","1000","1000","1000","1000","1000","1000","","",
"Guam","GUM","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","200","200","500","500","500","500","500","500","500","1000","1000","1000","1000","1000","1000","1000","1000","1000","500","500","500","500","500","500","500","500","500","500","500","500","500","500","","",
"High income","HIC","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hong Kong SAR, China","HKG","Adults (ages 15-49) newly infected with HIV","SH.HIV.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
